# Experiment Configuration:,"Rational: Share, Search, Price",,,,
# Firm Count:,2,,,,
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0,0.233415,0.178514,0.016,0.445362
2,0,0.233415,0.178514,0.016,0.445362
3,0,0.233415,0.178514,0.016,0.445362
4,0,0.233415,0.178514,0.016,0.445362
5,0,0.233415,0.178514,0.016,0.445362
6,0,0.233415,0.178514,0.016,0.445362
7,0,0.233415,0.178514,0.016,0.445362
8,0,0.233415,0.178514,0.016,0.445362
9,0,0.233415,0.178514,0.016,0.445362
10,0,0.233415,0.178514,0.016,0.445362
