# Experiment Configuration:,"Rational: Share, Search, Price"
Experiment,Firm_Num,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1,0.000000,0.124863,0.249765,0.000000,0.500000
2,2,0.000000,0.249583,0.178534,0.015994,0.445362
3,3,0.246473,0.295976,0.137286,0.021708,0.454859
4,4,0.684748,0.198358,0.129489,0.012296,0.589466
5,5,1.000000,0.113776,0.116413,0.000000,0.698827
6,6,1.000000,0.108814,0.103299,0.000000,0.723020
7,7,1.000000,0.103661,0.092930,0.000000,0.742997
8,8,1.000000,0.098436,0.084412,0.000000,0.759836
9,9,1.000000,0.093426,0.077390,0.000000,0.774264
10,10,1.000000,0.088852,0.071503,0.000000,0.786793
