firm_count,share_ratio,avg_search_cost,avg_price,avg_consumer_surplus,avg_firm_surplus,consumer_surplus,firm_surplus,social_welfare,CR,consumer_gini,firm_gini
1,0.000000,0.000000,0.500000,0.124988,0.250006,2.499768,5.000127,7.499895,33.330709,0.666677,0.000000
2,0.000000,0.016000,0.445362,0.233415,0.178514,4.668309,7.140563,8.238591,39.532217,0.467708,0.000362
3,0.246667,0.021694,0.454914,0.274327,0.137359,5.486539,8.241535,8.233718,39.965831,0.365465,0.000322
4,0.684548,0.012317,0.589403,0.186283,0.129563,3.725655,10.365050,6.316917,26.440512,0.418892,0.000330
5,1.000000,0.000000,0.698827,0.113917,0.116468,2.278331,11.646751,4.607681,16.361348,0.513196,0.000367
6,1.000000,0.000000,0.723020,0.108876,0.103285,2.177514,12.394199,4.243214,14.943431,0.483668,0.000562
7,1.000000,0.000000,0.742997,0.103620,0.092878,2.072395,13.002989,3.929965,13.746882,0.461802,0.000542
8,1.000000,0.000000,0.759836,0.098448,0.084433,1.968959,13.509251,3.657615,12.720844,0.445131,0.000536
9,1.000000,0.000000,0.774264,0.093476,0.077427,1.869527,13.936902,3.418072,11.827639,0.432480,0.000606
10,1.000000,0.000000,0.786793,0.088796,0.071525,1.775923,14.305023,3.206426,11.043650,0.422488,0.000574
