firm_count,consumer_surplus,firm_surplus,social_welfare,CR,consumer_gini,firm_gini
1,2.500146,5.000679,7.500825,33.331615,0.666622,0.000000
2,4.668618,7.140718,8.238977,39.533280,0.467671,0.000322
3,5.485946,8.242015,8.233285,39.961840,0.365495,0.000376
4,3.725943,10.365312,6.317271,26.441524,0.418836,0.000390
5,2.278427,11.646620,4.607751,16.362075,0.513195,0.000393
6,2.177448,12.394751,4.243240,14.942479,0.483684,0.000453
7,2.072234,13.002384,3.929718,13.746513,0.461856,0.000488
8,1.968549,13.507559,3.656994,12.719925,0.445350,0.000471
9,1.869681,13.936902,3.418226,11.828498,0.432435,0.000622
10,1.775921,14.304661,3.206387,11.043885,0.422530,0.000547
