firm_count,consumer_surplus,firm_surplus,social_welfare,CR,consumer_gini,firm_gini
1,2.493911476,4.9973,7.491211476,33.29116371,0.666704356,0
2,4.677324782,7.145127397,11.82245218,39.56306789,0.466684079,0.000916265
3,5.450601389,8.22303645,13.67363784,39.86211609,0.369301913,0.0027728
4,3.719151991,10.37516601,14.094318,26.38759812,0.419180047,0.002670557
5,2.278936168,11.635192,13.91412816,16.3785768,0.513071496,0.002013262
6,2.172501748,12.36855899,14.54106074,14.94046265,0.485060101,0.007026446
7,2.065586491,12.97986292,15.04544941,13.72897835,0.464187601,0.003895747
8,1.973235086,13.50987849,15.48311358,12.74443332,0.443639018,0.002280652
9,1.876812012,13.95579317,15.83260519,11.8540947,0.429523882,0.007661135
10,1.783008492,14.31916857,16.10217706,11.07308959,0.42002772,0.006144159
