round_id,Round,firm_num,consumer_gini,firm_gini
1-1,1,1,0.5732365145228215,0.0
1-2,2,1,0.5507752784450757,0.0
1-3,3,1,0.5507752784450757,0.0
1-4,4,1,0.5507752784450757,0.0
1-5,5,1,0.5507752784450757,0.0
1-6,6,1,0.5507752784450757,0.0
1-7,7,1,0.5507752784450757,0.0
1-8,8,1,0.5507752784450757,0.0
1-9,9,1,0.5507752784450757,0.0
1-10,10,1,0.5507752784450757,0.0
2-1,1,2,0.4601092896174861,0.11538461538461542
2-2,2,2,0.5222381635581059,0.16666666666666674
2-3,3,2,0.41357157197349914,0.08823529411764719
2-4,4,2,0.501207729468599,0.1428571428571428
2-5,5,2,0.47037037037037077,0.24226804123711343
2-6,6,2,0.3605110336817654,0.13157894736842102
2-7,7,2,0.5,0.16666666666666674
2-8,8,2,0.48271216883700063,0.16666666666666674
2-9,9,2,0.5337552742616032,0.2142857142857142
2-10,10,2,0.49943181818181825,0.125
3-1,1,3,0.47814207650273244,0.1904761904761907
3-2,2,3,0.37742946708463965,0.33333333333333326
3-3,3,3,0.5704365079365077,0.21138211382113847
3-4,4,3,0.4204491161012902,0.20000000000000018
3-5,5,3,0.5650623885918005,0.3293172690763053
3-6,6,3,0.5326633165829147,0.2777777777777779
3-7,7,3,0.4409302325581397,0.29824561403508776
3-8,8,3,0.3926202321724712,0.34343434343434365
3-9,9,3,0.3850210970464141,0.14814814814814814
3-10,10,3,0.43260553129548773,0.29824561403508776
4-1,1,4,0.2469019607843137,0.22999999999999998
4-2,2,4,0.256753407682776,0.2332535885167466
4-3,3,4,0.24693572496263116,0.18577981651376163
4-4,4,4,0.2901972504482968,0.24302325581395312
4-5,5,4,0.2472934472934476,0.19444444444444442
4-6,6,4,0.34337899543379,0.22488584474885842
4-7,7,4,0.3358471593765713,0.19444444444444442
4-8,8,4,0.34337899543379,0.22488584474885842
4-9,9,4,0.3358471593765713,0.222906403940887
4-10,10,4,0.3844178082191776,0.22488584474885842
5-1,1,5,0.15301886792452812,0.26835443037974693
5-2,2,5,0.25632183908046,0.27445255474452557
5-3,3,5,0.38389830508474576,0.256756756756757
5-4,4,5,0.25284552845528463,0.24060150375939848
5-5,5,5,0.3421610169491527,0.22239382239382244
5-6,6,5,0.3455284552845528,0.232394366197183
5-7,7,5,0.3183908045977013,0.21846153846153848
5-8,8,5,0.36813186813186816,0.23604240282685507
5-9,9,5,0.3484708063021318,0.22238805970149245
5-10,10,5,0.3455284552845528,0.2726591760299626
6-1,1,6,0.18576963053954443,0.21599402092675613
6-2,2,6,0.21467569338283465,0.2463126843657819
6-3,3,6,0.2135549872122764,0.1885245901639343
6-4,4,6,0.28169856459330145,0.21693121693121697
6-5,5,6,0.2448808324941254,0.1912568306010931
6-6,6,6,0.272855133614627,0.1963562753036434
6-7,7,6,0.3208536805932356,0.20370370370370372
6-8,8,6,0.336017980895299,0.20078740157480324
6-9,9,6,0.2831233295150821,0.20370370370370372
6-10,10,6,0.3284359308164402,0.20078740157480324
7-1,1,7,0.1773534635879217,0.1587301587301586
7-2,2,7,0.22398461908195166,0.14634146341463405
7-3,3,7,0.1670880257412093,0.17237308146399055
7-4,4,7,0.22046004842615052,0.14826839826839855
7-5,5,7,0.21004618937644381,0.15714285714285725
7-6,6,7,0.21004618937644381,0.15714285714285725
7-7,7,7,0.21004618937644381,0.15714285714285725
7-8,8,7,0.21004618937644381,0.15714285714285725
7-9,9,7,0.21004618937644381,0.15714285714285725
7-10,10,7,0.21004618937644381,0.15714285714285725
8-1,1,8,0.0831297709923664,0.25877192982456165
8-2,2,8,0.09268077601410907,0.253048780487805
8-3,3,8,0.16115973741794298,0.2602611940298507
8-4,4,8,0.11826196473551653,0.25
8-5,5,8,0.11826196473551653,0.25
8-6,6,8,0.11826196473551653,0.25
8-7,7,8,0.11826196473551653,0.25
8-8,8,8,0.11826196473551653,0.25
8-9,9,8,0.11826196473551653,0.25
8-10,10,8,0.11826196473551653,0.25
9-1,1,9,0.19609929078014177,0.24976258309591648
9-2,2,9,0.20898170898170898,0.21872265966754156
9-3,3,9,0.23929794520547953,0.25275657336726054
9-4,4,9,0.18440101339124126,0.21411192214111918
9-5,5,9,0.22696512233211874,0.28019323671497576
9-6,6,9,0.3032407407407409,0.32603406326034046
9-7,7,9,0.3266055045871563,0.35357290375877715
9-8,8,9,0.34208754208754244,0.31746031746031744
9-9,9,9,0.3262411347517731,0.3472222222222223
9-10,10,9,0.3262411347517731,0.3472222222222223
10-1,1,10,0.10203915171288713,0.238655462184874
10-2,2,10,0.11966236345580938,0.24492753623188412
10-3,3,10,0.1474780701754388,0.23380281690140836
10-4,4,10,0.2400318979266347,0.21948051948051917
10-5,5,10,0.16914080071974857,0.20133333333333292
10-6,6,10,0.22476272648835183,0.21282051282051273
10-7,7,10,0.19940696812453695,0.2236842105263157
10-8,8,10,0.19497607655502414,0.21948051948051917
10-9,9,10,0.22476272648835183,0.21282051282051273
10-10,10,10,0.22476272648835183,0.21282051282051273
