firm_num,round,consumer_id,share,share_reason,final_choice,final_reason,decision_sequence,total_revenue,Privacy_Cost,Valuations
5,1,C1,,,,,,0.3,0.036,"[0.05, 0.37, 0.94, 0.59, 0.33]"
5,1,C2,,,,,,-0.04,0.035,"[0.4, 0.47, 0.53, 0.43, 0.35]"
5,1,C3,,,,,,0.33,0.034,"[0.42, 0.87, 0.73, 0.83, 0.96]"
5,1,C4,,,,,,0.14,0.032,"[0.75, 0.77, 0.19, 0.58, 0.52]"
5,1,C5,,,,,,0.3,0.03,"[0.52, 0.02, 0.93, 0.69, 0.18]"
5,1,C6,,,,,,0.33,0.043,"[0.97, 0.07, 0.68, 0.68, 0.14]"
5,1,C7,,,,,,0.07,0.046,"[0.46, 0.15, 0.25, 0.72, 0.61]"
5,1,C8,,,,,,0.13,0.043,"[0.75, 0.34, 0.63, 0.36, 0.77]"
5,1,C9,,,,,,-0.04,0.054,"[0.55, 0.61, 0.49, 0.21, 0.19]"
5,1,C10,,,,,,0.31,0.043,"[0.34, 0.65, 0.52, 0.54, 0.95]"
5,1,C11,,,,,,0.33,0.03,"[0.81, 0.96, 0.51, 0.26, 0.36]"
5,1,C12,,,,,,0.02,0.029,"[0.17, 0.29, 0.65, 0.31, 0.18]"
5,1,C13,,,,,,0.28,0.037,"[0.05, 0.43, 0.42, 0.33, 0.92]"
5,1,C14,,,,,,0.09,0.041,"[0.69, 0.27, 0.19, 0.54, 0.73]"
5,1,C15,,,,,,0.19,0.043,"[0.14, 0.83, 0.34, 0.17, 0.15]"
5,1,C16,,,,,,0.14,0.036,"[0.43, 0.5, 0.78, 0.42, 0.21]"
5,1,C17,,,,,,0.31,0.042,"[0.9, 0.84, 0.58, 0.95, 0.43]"
5,1,C18,,,,,,0.26,0.052,"[0.91, 0.61, 0.78, 0.79, 0.59]"
5,1,C19,,,,,,0.36,0.036,"[0.93, 0.52, 0.78, 1.0, 0.7]"
5,1,C20,,,,,,-0.04,0.037,"[0.42, 0.09, 0.03, 0.17, 0.4]"
5,2,C1,,,,,,0.2,0.036,"[0.05, 0.37, 0.94, 0.59, 0.33]"
5,2,C2,,,,,,-0.04,0.035,"[0.4, 0.47, 0.53, 0.43, 0.35]"
5,2,C3,,,,,,0.33,0.034,"[0.42, 0.87, 0.73, 0.83, 0.96]"
5,2,C4,,,,,,0.04,0.032,"[0.75, 0.77, 0.19, 0.58, 0.52]"
5,2,C5,,,,,,0.2,0.03,"[0.52, 0.02, 0.93, 0.69, 0.18]"
5,2,C6,,,,,,0.23,0.043,"[0.97, 0.07, 0.68, 0.68, 0.14]"
5,2,C7,,,,,,-0.03,0.046,"[0.46, 0.15, 0.25, 0.72, 0.61]"
5,2,C8,,,,,,0.13,0.043,"[0.75, 0.34, 0.63, 0.36, 0.77]"
5,2,C9,,,,,,-0.05,0.054,"[0.55, 0.61, 0.49, 0.21, 0.19]"
5,2,C10,,,,,,0.31,0.043,"[0.34, 0.65, 0.52, 0.54, 0.95]"
5,2,C11,,,,,,0.23,0.03,"[0.81, 0.96, 0.51, 0.26, 0.36]"
5,2,C12,,,,,,-0.03,0.029,"[0.17, 0.29, 0.65, 0.31, 0.18]"
5,2,C13,,,,,,0.28,0.037,"[0.05, 0.43, 0.42, 0.33, 0.92]"
5,2,C14,,,,,,0.09,0.041,"[0.69, 0.27, 0.19, 0.54, 0.73]"
5,2,C15,,,,,,0.09,0.043,"[0.14, 0.83, 0.34, 0.17, 0.15]"
5,2,C16,,,,,,0.04,0.036,"[0.43, 0.5, 0.78, 0.42, 0.21]"
5,2,C17,,,,,,0.21,0.042,"[0.9, 0.84, 0.58, 0.95, 0.43]"
