round_id,Round,consumer_surplus,firm_surplus
1-1,1,2.5,5.0
1-2,2,2.5,5.0
1-3,3,2.5,5.0
1-4,4,2.5,5.0
1-5,5,2.5,5.0
1-6,6,2.5,5.0
1-7,7,2.5,5.0
1-8,8,2.5,5.0
1-9,9,2.5,5.0
1-10,10,2.5,5.0
2-1,1,1.53,5.45
2-2,2,1.74,4.97
2-3,3,2.74,5.5
2-4,4,2.41,5.0
2-5,5,1.9,4.46
2-6,6,2.2800000000000002,5.5
2-7,7,1.99,4.5
2-8,8,2.4,5.0
2-9,9,2.6,5.0
2-10,10,1.88,4.5
3-1,1,2.5300000000000002,7.05
3-2,2,2.06,6.96
3-3,3,1.9700000000000002,6.52
3-4,4,1.73,6.68
3-5,5,2.0,7.359999999999999
3-6,6,1.78,7.6
3-7,7,0.71,7.24
3-8,8,0.5800000000000001,6.66
3-9,9,1.08,6.58
3-10,10,1.23,7.1
4-1,1,4.03,9.27
4-2,2,3.74,8.96
4-3,3,3.94,9.3
4-4,4,3.68,9.02
4-5,5,3.3200000000000003,9.379999999999999
4-6,6,3.12,9.620000000000001
4-7,7,2.85,9.94
4-8,8,2.4,9.68
4-9,9,2.33,9.76
4-10,10,2.6,10.1
5-1,1,2.2199999999999998,8.92
5-2,2,1.27,8.5
5-3,3,2.04,9.7
5-4,4,2.2,8.9
5-5,5,0.87,9.0
5-6,6,1.15,9.2
5-7,7,2.31,10.1
5-8,8,2.94,9.6
5-9,9,2.97,10.7
5-10,10,2.67,11.0
6-1,1,5.1,9.19
6-2,2,4.94,9.35
6-3,3,4.65,9.65
6-4,4,4.54,9.75
6-5,5,4.7,9.6
6-6,6,4.69,9.6
6-7,7,4.58,9.75
6-8,8,4.59,9.7
6-9,9,4.25,10.05
6-10,10,4.94,9.35
7-1,1,6.78,10.25
7-2,2,7.04,10.0
7-3,3,7.04,10.0
7-4,4,7.04,10.0
7-5,5,7.04,10.0
7-6,6,6.84,10.2
7-7,7,6.6,10.2
7-8,8,7.09,9.95
7-9,9,6.94,10.1
7-10,10,6.84,10.2
8-1,1,5.6,11.2
8-2,2,4.01,13.66
8-3,3,1.62,12.600000000000001
8-4,4,1.9100000000000001,14.0
8-5,5,2.16,14.7
8-6,6,2.23,15.4
8-7,7,2.46,15.2
8-8,8,2.17,14.700000000000001
8-9,9,1.78,13.9
8-10,10,2.2600000000000002,15.4
9-1,1,5.1,11.39
9-2,2,2.33,14.14
9-3,3,1.69,14.78
9-4,4,1.57,14.96
9-5,5,1.43,15.04
9-6,6,1.59,14.879999999999999
9-7,7,1.82,14.68
9-8,8,0.73,10.46
9-9,9,1.98,14.3
9-10,10,1.5,14.98
10-1,1,6.93,10.56
10-2,2,7.49,10.0
10-3,3,6.93,10.56
10-4,4,6.93,10.56
10-5,5,6.63,10.86
10-6,6,5.98,11.51
10-7,7,6.14,11.35
10-8,8,4.07,12.71
10-9,9,3.8,13.7
10-10,10,3.0,13.8
