round_id,Round,firm_num,consumer_gini,firm_gini
1-1,1,1,0.6219999999999999,0.0
1-2,2,1,0.6219999999999999,0.0
1-3,3,1,0.6219999999999999,0.0
1-4,4,1,0.6219999999999999,0.0
1-5,5,1,0.6219999999999999,0.0
1-6,6,1,0.6219999999999999,0.0
1-7,7,1,0.6219999999999999,0.0
1-8,8,1,0.6219999999999999,0.0
1-9,9,1,0.6219999999999999,0.0
1-10,10,1,0.6219999999999999,0.0
2-1,1,2,0.6016414141414144,0.050458715596330084
2-2,2,2,0.6571677813317824,0.20422535211267623
2-3,3,2,0.5708029197080289,0.045454545454545414
2-4,4,2,0.6213692946058087,0.10000000000000009
2-5,5,2,0.688947368421053,0.060538116591928315
2-6,6,2,0.6284699089495889,0.045454545454545414
2-7,7,2,0.6675879396984921,0.05555555555555558
2-8,8,2,0.624583333333333,0.10000000000000009
2-9,9,2,0.6257692307692306,0.10000000000000009
2-10,10,2,0.6645299145299148,0.16666666666666674
3-1,1,3,0.22493751735628975,0.11820330969267134
3-2,2,3,0.3996138996138996,0.11111111111111138
3-3,3,3,0.4412550066755674,0.06134969325153383
3-4,4,3,0.44285714285714284,0.06786427145708585
3-5,5,3,0.44837209302325576,0.021739130434782705
3-6,6,3,0.39963369963369955,0.021052631578947656
3-7,7,3,0.44514501891551084,0.05524861878453047
3-8,8,3,0.5523598820058995,0.06606606606606613
3-9,9,3,0.4988662131519277,0.058763931104356626
3-10,10,3,0.47244897959183674,0.05446009389671391
4-1,1,4,0.27725017717930567,0.2187162891046388
4-2,2,4,0.22638174807197942,0.2332589285714286
4-3,3,4,0.23651960784313708,0.2274193548387098
4-4,4,4,0.26713446475195823,0.26330376940133027
4-5,5,4,0.2840417867435159,0.2585287846481876
4-6,6,4,0.36787470406119116,0.2666320166320164
4-7,7,4,0.3823529411764708,0.2660965794768613
4-8,8,4,0.32010376134889773,0.22417355371900816
4-9,9,4,0.30896921017402956,0.2797131147540983
4-10,10,4,0.27982590885816694,0.2638613861386141
5-1,1,5,0.34285714285714297,0.17847533632287016
5-2,2,5,0.2876033057851244,0.2211764705882353
5-3,3,5,0.373692077727952,0.14432989690721665
5-4,4,5,0.26521164021164023,0.11685393258426968
5-5,5,5,0.3188705234159781,0.22222222222222232
5-6,6,5,0.3166357452071744,0.13913043478260878
5-7,7,5,0.4076417004048585,0.14653465346534666
5-8,8,5,0.28110403397027617,0.1499999999999999
5-9,9,5,0.3396154578336188,0.10093457943925221
5-10,10,5,0.3854100780096985,0.10909090909090913
6-1,1,6,0.22763128239801644,0.27983315197678604
6-2,2,6,0.18135317368053938,0.2647058823529409
6-3,3,6,0.21531631520532724,0.2702936096718478
6-4,4,6,0.2188841201716738,0.25726495726495724
6-5,5,6,0.22431047107639768,0.2743055555555556
6-6,6,6,0.21303656597774223,0.2673611111111107
6-7,7,6,0.25703385789222666,0.26068376068376065
6-8,8,6,0.22130635693767964,0.2628865979381445
6-9,9,6,0.279983847085745,0.26948590381426185
6-10,10,6,0.18135317368053938,0.2647058823529409
7-1,1,7,0.16150442477876137,0.4362369337979095
7-2,2,7,0.14744318181818183,0.44285714285714284
7-3,3,7,0.14744318181818183,0.44285714285714284
7-4,4,7,0.14744318181818183,0.44285714285714284
7-5,5,7,0.14744318181818183,0.44285714285714284
7-6,6,7,0.15833333333333321,0.43977591036414587
7-7,7,7,0.19409090909090887,0.44817927170868366
7-8,8,7,0.14887165021156545,0.4479540559942572
7-9,9,7,0.1560518731988476,0.4356435643564356
7-10,10,7,0.15833333333333321,0.43977591036414587
8-1,1,8,0.19778984828619617,0.2627232142857143
8-2,2,8,0.28466334164588525,0.35669838945827226
8-3,3,8,0.27560521415270056,0.26190476190476186
8-4,4,8,0.39429237041351195,0.30892857142857166
8-5,5,8,0.3533533533533535,0.3443877551020409
8-6,6,8,0.40883458646616555,0.34253246753246747
8-7,7,8,0.3626016260162601,0.3355263157894737
8-8,8,8,0.33756851021425005,0.32568027210884365
8-9,9,8,0.3470728793309439,0.40557553956834513
8-10,10,8,0.2893805309734514,0.31493506493506485
9-1,1,9,0.24112607099143224,0.2793873768412838
9-2,2,9,0.3400132129486897,0.31085965739431054
9-3,3,9,0.2771500313873194,0.28266426101338116
9-4,4,9,0.3020833333333335,0.28134284016636935
9-5,5,9,0.28506787330316774,0.27984633569739925
9-6,6,9,0.25210084033613445,0.28405017921146936
9-7,7,9,0.306584362139918,0.21374508023009375
9-8,8,9,0.27333831217326376,0.4274484809857657
9-9,9,9,0.3867521367521367,0.3024087024087021
9-10,10,9,0.40015243902439,0.3029224150719476
10-1,1,10,0.18520923520923516,0.34015151515151487
10-2,2,10,0.1263684913217622,0.34999999999999987
10-3,3,10,0.18520923520923516,0.34015151515151487
10-4,4,10,0.18520923520923516,0.34015151515151487
10-5,5,10,0.19177978883861213,0.3489871086556169
10-6,6,10,0.24080267558528434,0.34865334491746314
10-7,7,10,0.16941056043674818,0.37488986784140965
10-8,8,10,0.1955823293172687,0.3747442958300551
10-9,9,10,0.2009069671567958,0.35985401459854005
10-10,10,10,0.27196804647785044,0.3775362318840578
