firm_num,round,consumer_id,share,share_reason,final_choice,final_reason,decision_sequence,total_revenue,Privacy_Cost,Valuations
5,1,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,1,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,1,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,1,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,1,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,1,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,1,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,1,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,1,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,1,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,1,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,1,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,1,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,1,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,1,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,1,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,1,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,1,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,1,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,1,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,2,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,2,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,2,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,2,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,2,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,2,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,2,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,2,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,2,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,2,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,2,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,2,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,2,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,2,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,2,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,2,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,2,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,2,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,2,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,2,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,3,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,3,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,3,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,3,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,3,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,3,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,3,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,3,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,3,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,3,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,3,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,3,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,3,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,3,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,3,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,3,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,3,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,3,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,3,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,3,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,4,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,4,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,4,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,4,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,4,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,4,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,4,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,4,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,4,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,4,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,4,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,4,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,4,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,4,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,4,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,4,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,4,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,4,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,4,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,4,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,5,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,5,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,5,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,5,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,5,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,5,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,5,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,5,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,5,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,5,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,5,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,5,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,5,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,5,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,5,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,5,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,5,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,5,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,5,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,5,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,6,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,6,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,6,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,6,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,6,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,6,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,6,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,6,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,6,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,6,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,6,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,6,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,6,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,6,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,6,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,6,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,6,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,6,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,6,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
5,6,C20,,,,,,0.17,0.048,"[0.02, 0.62, 0.72, 0.61, 0.63]"
5,7,C1,,,,,,0.39,0.044,"[0.16, 0.23, 0.01, 0.93, 0.74]"
5,7,C2,,,,,,0.35,0.048,"[0.65, 0.59, 0.64, 0.9, 0.66]"
5,7,C3,,,,,,0.4,0.045,"[0.09, 0.11, 0.95, 0.58, 0.15]"
5,7,C4,,,,,,0.42,0.045,"[0.05, 0.68, 0.97, 0.1, 0.25]"
5,7,C5,,,,,,0.37,0.038,"[0.41, 0.54, 0.22, 0.91, 0.81]"
5,7,C6,,,,,,0.42,0.039,"[0.58, 0.35, 0.96, 0.19, 0.96]"
5,7,C7,,,,,,0.36,0.049,"[0.59, 0.91, 0.42, 0.91, 0.8]"
5,7,C8,,,,,,0.31,0.027,"[0.72, 0.84, 0.68, 0.38, 0.74]"
5,7,C9,,,,,,0.42,0.031,"[0.82, 0.95, 0.73, 0.66, 0.95]"
5,7,C10,,,,,,0.03,0.027,"[0.19, 0.52, 0.56, 0.1, 0.0]"
5,7,C11,,,,,,0.37,0.036,"[0.72, 0.51, 0.91, 0.62, 0.51]"
5,7,C12,,,,,,0.01,0.026,"[0.19, 0.03, 0.52, 0.54, 0.22]"
5,7,C13,,,,,,0.38,0.043,"[0.35, 0.22, 0.82, 0.92, 0.85]"
5,7,C14,,,,,,0.28,0.044,"[0.79, 0.41, 0.39, 0.82, 0.22]"
5,7,C15,,,,,,0.14,0.03,"[0.13, 0.67, 0.53, 0.17, 0.28]"
5,7,C16,,,,,,0.36,0.049,"[0.91, 0.87, 0.7, 0.52, 0.22]"
5,7,C17,,,,,,0.38,0.039,"[0.06, 0.28, 0.11, 0.92, 0.2]"
5,7,C18,,,,,,0.26,0.039,"[0.61, 0.09, 0.45, 0.8, 0.62]"
5,7,C19,,,,,,0.39,0.032,"[0.21, 0.3, 0.92, 0.8, 0.07]"
