"# Experiment Configuration: Multi-Scenario Simulation (Optimized)"
"# N_Consumers: 1000000"
"# Parameters: {'v_dist': {'type': 'uniform', 'low': 0, 'high': 1}, '¦Ó_low': 0.025, '¦Ó_high': 0.055, 'c': 0.0, 'r': 0.8, 's': 0.02}"
"# Each row represents a 'Number of Firms (n)' value."
"# Metrics for each scenario include: share_ratio (sigma), avg_consumer_surplus, avg_producer_surplus, avg_search_cost, avg_price, total_welfare."
"# Note: CS Optimal and TW Optimal scenarios were NOT run in this execution (RUN_OPTIMAL_SCENARIOS = False)."
Firm_Num Normal_share_ratio Normal_consumer_surplus Normal_firm_surplus Normal_avg_search_cost Normal_avg_price Normal_total_welfare NoSharing_share_ratio NoSharing_consumer_surplus NoSharing_firm_surplus NoSharing_avg_search_cost NoSharing_avg_price NoSharing_total_welfare
1 0.000000 0.124863 0.249765 0.000000 0.500000 0.374627 0.000000 0.125191 0.250323 0.000000 0.500000 0.375513
2 0.000000 0.249583 0.178534 0.015994 0.445362 0.412122 0.000000 0.249383 0.178479 0.016002 0.445362 0.411860
3 0.246473 0.295976 0.137286 0.021708 0.454859 0.411554 0.000000 0.365518 0.121299 0.028794 0.386224 0.458022
4 0.684748 0.198358 0.129489 0.012296 0.589466 0.315551 0.000000 0.459700 0.082571 0.039028 0.334512 0.503243
5 1.000000 0.113776 0.116413 0.000000 0.698827 0.230189 0.000000 0.526995 0.059222 0.047194 0.296792 0.539023
6 1.000000 0.108814 0.103299 0.000000 0.723020 0.212113 0.000000 0.572856 0.045139 0.053823 0.270948 0.564172
7 1.000000 0.103661 0.092930 0.000000 0.742997 0.196591 0.000000 0.604780 0.036148 0.059172 0.253057 0.581757
8 1.000000 0.098436 0.084412 0.000000 0.759836 0.182848 0.000000 0.627985 0.030039 0.063278 0.240316 0.594746
9 1.000000 0.093426 0.077390 0.000000 0.774264 0.170816 0.000000 0.644769 0.025667 0.066600 0.231005 0.603837
10 1.000000 0.088852 0.071503 0.000000 0.786793 0.160355 0.000000 0.657399 0.022406 0.069279 0.224058 0.610525
