firm_num,round,consumer_id,share,share_reason,final_choice,final_reason,decision_sequence,total_revenue,Privacy_Cost,Valuations
9,1,C1,,,,,,0.25,0.037,"[0.38, 0.89, 0.75, 0.69, 0.16, 0.36, 0.5, 0.12, 0.75]"
9,1,C2,,,,,,0.07,0.038,"[0.21, 0.38, 0.51, 0.24, 0.18, 0.69, 0.29, 0.02, 0.71]"
9,1,C3,,,,,,0.24,0.037,"[0.66, 0.36, 0.69, 0.72, 0.15, 0.42, 0.45, 0.48, 0.88]"
9,1,C4,,,,,,0.29,0.03,"[0.92, 0.57, 0.01, 0.34, 0.13, 0.23, 0.12, 0.56, 0.05]"
9,1,C5,,,,,,0.17,0.047,"[0.05, 0.4, 0.69, 0.54, 0.82, 0.56, 0.37, 0.02, 0.76]"
9,1,C6,,,,,,0.35,0.041,"[0.99, 0.5, 0.66, 0.41, 0.7, 0.95, 0.99, 0.97, 0.4]"
9,1,C7,,,,,,0.34,0.036,"[0.86, 0.93, 0.42, 0.98, 0.07, 0.8, 0.5, 0.94, 0.17]"
9,1,C8,,,,,,0.24,0.052,"[0.14, 0.52, 0.89, 0.0, 0.41, 0.48, 0.36, 0.23, 0.8]"
9,1,C9,,,,,,0.3,0.032,"[0.32, 0.88, 0.18, 0.93, 0.84, 0.54, 0.58, 0.45, 0.18]"
9,1,C10,,,,,,0.23,0.042,"[0.44, 0.03, 0.79, 0.48, 0.87, 0.24, 0.06, 0.68, 0.87]"
9,1,C11,,,,,,0.32,0.05,"[0.97, 0.22, 0.42, 0.86, 0.07, 0.86, 0.73, 0.61, 0.95]"
9,1,C12,,,,,,0.32,0.047,"[0.08, 0.97, 0.31, 0.8, 0.85, 0.9, 0.33, 0.04, 0.94]"
9,1,C13,,,,,,0.14,0.03,"[0.3, 0.1, 0.77, 0.59, 0.33, 0.61, 0.15, 0.12, 0.77]"
9,1,C14,,,,,,0.31,0.046,"[0.72, 0.93, 0.35, 0.51, 0.96, 0.37, 0.87, 0.46, 0.6]"
9,1,C15,,,,,,0.18,0.044,"[0.54, 0.73, 0.81, 0.78, 0.48, 0.82, 0.24, 0.38, 0.18]"
9,1,C16,,,,,,-0.04,0.04,"[0.49, 0.39, 0.23, 0.53, 0.56, 0.51, 0.04, 0.01, 0.6]"
9,1,C17,,,,,,0.16,0.027,"[0.6, 0.47, 0.79, 0.47, 0.45, 0.33, 0.31, 0.53, 0.1]"
9,1,C18,,,,,,0.26,0.045,"[0.37, 0.69, 0.26, 0.9, 0.85, 0.75, 0.58, 0.23, 0.32]"
9,1,C19,,,,,,0.32,0.038,"[0.29, 0.87, 0.96, 0.39, 0.13, 0.92, 0.6, 0.85, 0.85]"
9,1,C20,,,,,,0.17,0.044,"[0.59, 0.39, 0.81, 0.35, 0.42, 0.24, 0.79, 0.2, 0.72]"
9,2,C1,,,,,,0.15,0.037,"[0.38, 0.89, 0.75, 0.69, 0.16, 0.36, 0.5, 0.12, 0.75]"
