firm_num,round,consumer_id,share,share_reason,final_choice,final_reason,decision_sequence,total_revenue,Privacy_Cost,Valuations
3,1,C1,,,,,,0.26,0.054,"[0.74, 0.23, 0.78]"
3,1,C2,,,,,,-0.04,0.035,"[0.17, 0.04, 0.37]"
3,1,C3,,,,,,0.38,0.038,"[0.77, 0.49, 0.9]"
3,1,C4,,,,,,-0.04,0.047,"[0.34, 0.06, 0.14]"
3,1,C5,,,,,,0.03,0.027,"[0.66, 0.12, 0.62]"
3,1,C6,,,,,,0.02,0.043,"[0.66, 0.59, 0.12]"
3,1,C7,,,,,,0.29,0.052,"[0.13, 0.19, 0.83]"
3,1,C8,,,,,,0.34,0.029,"[0.97, 0.23, 0.93]"
3,1,C9,,,,,,0.05,0.048,"[0.53, 0.71, 0.5]"
3,1,C10,,,,,,-0.03,0.027,"[0.26, 0.0, 0.09]"
3,1,C11,,,,,,0.16,0.047,"[0.61, 0.55, 0.7]"
3,1,C12,,,,,,-0.03,0.047,"[0.54, 0.42, 0.51]"
3,1,C13,,,,,,0.18,0.044,"[0.04, 0.43, 0.72]"
3,1,C14,,,,,,0.14,0.053,"[0.49, 0.27, 0.68]"
3,1,C15,,,,,,0.35,0.026,"[0.98, 0.14, 0.64]"
3,1,C16,,,,,,0.42,0.041,"[0.06, 0.27, 0.94]"
3,1,C17,,,,,,0.08,0.043,"[0.67, 0.29, 0.62]"
3,1,C18,,,,,,0.31,0.039,"[0.36, 0.0, 0.85]"
3,1,C19,,,,,,0.01,0.045,"[0.48, 0.2, 0.55]"
3,1,C20,,,,,,0.3,0.051,"[0.53, 0.54, 0.82]"
3,2,C1,,,,,,0.24,0.054,"[0.74, 0.23, 0.78]"
3,2,C2,,,,,,-0.04,0.035,"[0.17, 0.04, 0.37]"
3,2,C3,,,,,,0.36,0.038,"[0.77, 0.49, 0.9]"
3,2,C4,,,,,,-0.04,0.047,"[0.34, 0.06, 0.14]"
3,2,C5,,,,,,0.13,0.027,"[0.66, 0.12, 0.62]"
3,2,C6,,,,,,0.12,0.043,"[0.66, 0.59, 0.12]"
3,2,C7,,,,,,0.31,0.052,"[0.13, 0.19, 0.83]"
3,2,C8,,,,,,0.44,0.029,"[0.97, 0.23, 0.93]"
3,2,C9,,,,,,0.17,0.048,"[0.53, 0.71, 0.5]"
3,2,C10,,,,,,-0.03,0.027,"[0.26, 0.0, 0.09]"
3,2,C11,,,,,,0.16,0.047,"[0.61, 0.55, 0.7]"
3,2,C12,,,,,,0.0,0.047,"[0.54, 0.42, 0.51]"
3,2,C13,,,,,,0.18,0.044,"[0.04, 0.43, 0.72]"
3,2,C14,,,,,,0.14,0.053,"[0.49, 0.27, 0.68]"
3,2,C15,,,,,,0.45,0.026,"[0.98, 0.14, 0.64]"
3,2,C16,,,,,,0.4,0.041,"[0.06, 0.27, 0.94]"
3,2,C17,,,,,,0.13,0.043,"[0.67, 0.29, 0.62]"
3,2,C18,,,,,,0.31,0.039,"[0.36, 0.0, 0.85]"
3,2,C19,,,,,,0.01,0.045,"[0.48, 0.2, 0.55]"
3,2,C20,,,,,,0.3,0.051,"[0.53, 0.54, 0.82]"
