round_id,Round,consumer_surplus,firm_surplus
1-1,1,1.12,3.6
1-2,2,1.12,3.6
1-3,3,1.12,3.6
1-4,4,1.12,3.6
1-5,5,1.12,3.6
1-6,6,1.12,3.6
1-7,7,1.12,3.6
1-8,8,1.12,3.6
1-9,9,1.12,3.6
1-10,10,1.12,3.6
2-1,1,0.29000000000000004,7.800000000000001
2-2,2,-0.4,6.300000000000001
2-3,3,-0.27,6.6
2-4,4,-0.029999999999999943,7.800000000000001
2-5,5,-0.22999999999999998,6.6
2-6,6,-0.019999999999999934,7.800000000000001
2-7,7,5.551115123125783e-17,7.800000000000001
2-8,8,-0.009999999999999953,7.800000000000001
2-9,9,0.020000000000000073,7.800000000000001
2-10,10,5.551115123125783e-17,7.800000000000001
3-1,1,3.33,9.4
3-2,2,1.99,9.5
3-3,3,1.75,11.0
3-4,4,0.55,7.5
3-5,5,2.56,10.2
3-6,6,1.18,10.3
3-7,7,1.75,11.0
3-8,8,1.75,11.0
3-9,9,1.75,11.0
3-10,10,1.75,11.0
4-1,1,4.24,10.8
4-2,2,3.13,11.25
4-3,3,2.7600000000000002,12.3
4-4,4,1.6300000000000001,11.1
4-5,5,1.98,12.3
4-6,6,1.76,11.9
4-7,7,1.62,12.0
4-8,8,2.38,12.7
4-9,9,2.38,12.7
4-10,10,2.38,12.7
5-1,1,4.59,10.8
5-2,2,3.62,10.8
5-3,3,3.56,10.75
5-4,4,2.84,11.6
5-5,5,2.66,9.45
5-6,6,2.64,11.05
5-7,7,2.44,11.899999999999999
5-8,8,1.91,10.9
5-9,9,2.34,12.0
5-10,10,2.34,12.0
6-1,1,4.39,10.35
6-2,2,3.08,11.1
6-3,3,2.5500000000000003,11.5
6-4,4,1.98,12.2
6-5,5,1.62,9.6
6-6,6,1.75,12.25
6-7,7,1.61,11.65
6-8,8,1.83,11.05
6-9,9,1.9400000000000002,11.35
6-10,10,2.32,11.65
7-1,1,5.56,11.65
7-2,2,3.91,13.3
7-3,3,2.67,14.55
7-4,4,1.6500000000000001,15.4
7-5,5,1.2,14.45
7-6,6,1.22,14.25
7-7,7,1.15,12.4
7-8,8,1.6700000000000002,14.75
7-9,9,1.57,15.65
7-10,10,1.57,15.65
8-1,1,6.0,11.1
8-2,2,4.92,12.2
8-3,3,3.86,13.15
8-4,4,3.12,13.299999999999999
8-5,5,2.63,13.75
8-6,6,2.11,14.25
8-7,7,1.67,13.9
8-8,8,1.4100000000000001,14.95
8-9,9,1.0999999999999999,13.25
8-10,10,1.31,11.9
9-1,1,5.68,11.7
9-2,2,4.35,13.0
9-3,3,3.53,13.85
9-4,4,2.47,13.2
9-5,5,1.87,14.75
9-6,6,1.21,14.5
9-7,7,0.95,15.649999999999999
9-8,8,0.53,11.4
9-9,9,1.18,16.2
9-10,10,0.86,14.65
10-1,1,5.85,11.200000000000001
10-2,2,4.69,11.75
10-3,3,3.64,12.8
10-4,4,2.63,12.95
10-5,5,1.97,13.75
10-6,6,1.43,14.15
10-7,7,0.83,13.05
10-8,8,0.85,12.95
10-9,9,0.93,12.9
10-10,10,0.9900000000000001,13.6
