round_id,Round,firm_num,consumer_gini,firm_gini
1-1,1,1,0.7794642857142853,0.0
1-2,2,1,0.7794642857142853,0.0
1-3,3,1,0.7794642857142853,0.0
1-4,4,1,0.7794642857142853,0.0
1-5,5,1,0.7794642857142853,0.0
1-6,6,1,0.7794642857142853,0.0
1-7,7,1,0.7794642857142853,0.0
1-8,8,1,0.7794642857142853,0.0
1-9,9,1,0.7794642857142853,0.0
1-10,10,1,0.7794642857142853,0.0
2-1,1,2,0.3419811320754713,0.038461538461538325
2-2,2,2,0.3205128205128207,0.16666666666666652
2-3,3,2,0.23451327433628322,0.045454545454545414
2-4,4,2,0.3278688524590163,0.038461538461538325
2-5,5,2,0.23451327433628322,0.045454545454545414
2-6,6,2,0.3278688524590163,0.038461538461538325
2-7,7,2,0.3278688524590163,0.038461538461538325
2-8,8,2,0.3278688524590163,0.038461538461538325
2-9,9,2,0.3278688524590163,0.038461538461538325
2-10,10,2,0.3278688524590163,0.038461538461538325
3-1,1,3,0.25336402266288927,0.18439716312056764
3-2,2,3,0.26761904761904765,0.2666666666666666
3-3,3,3,0.44170940170940165,0.25454545454545485
3-4,4,3,0.5464852607709747,0.16000000000000014
3-5,5,3,0.2987637362637363,0.22222222222222232
3-6,6,3,0.4018838304552588,0.29773462783171545
3-7,7,3,0.44170940170940165,0.25454545454545485
3-8,8,3,0.44170940170940165,0.25454545454545485
3-9,9,3,0.44170940170940165,0.25454545454545485
3-10,10,3,0.44170940170940165,0.25454545454545485
4-1,1,4,0.1981227803145611,0.30555555555555514
4-2,2,4,0.24210903873744627,0.3255555555555556
4-3,3,4,0.2316303684103398,0.315040650406504
4-4,4,4,0.19409124906507147,0.4256756756756759
4-5,5,4,0.35203488372092995,0.315040650406504
4-6,6,4,0.21768707482993221,0.34663865546218475
4-7,7,4,0.3513812154696132,0.3291666666666666
4-8,8,4,0.2530000000000001,0.32874015748031504
4-9,9,4,0.2530000000000001,0.32874015748031504
4-10,10,4,0.2530000000000001,0.32874015748031504
5-1,1,5,0.1791116446578631,0.04444444444444451
5-2,2,5,0.21004641909814326,0.05555555555555558
5-3,3,5,0.27274258760107806,0.11720930232558135
5-4,4,5,0.1838095238095241,0.09310344827586192
5-5,5,5,0.2065189048239895,0.22857142857142865
5-6,6,5,0.3454181494661921,0.1574660633484164
5-7,7,5,0.3593406593406594,0.16134453781512614
5-8,8,5,0.3673616103522648,0.12844036697247696
5-9,9,5,0.38457142857142856,0.1533333333333331
5-10,10,5,0.38457142857142856,0.1533333333333331
6-1,1,6,0.1397709526288391,0.3035426731078905
6-2,2,6,0.14711538461538476,0.2987987987987988
6-3,3,6,0.28090148698884776,0.26376811594202887
6-4,4,6,0.2723418134377038,0.2732240437158473
6-5,5,6,0.37056737588652466,0.38888888888888884
6-6,6,6,0.3060758337140248,0.2741496598639457
6-7,7,6,0.4038461538461542,0.29828326180257503
6-8,8,6,0.3431372549019609,0.3612368024132726
6-9,9,6,0.35110663983903434,0.2562408223201176
6-10,10,6,0.31309041835357654,0.3340486409155936
7-1,1,7,0.1417266187050361,0.3776824034334767
7-2,2,7,0.2208439897698209,0.3716433941997854
7-3,3,7,0.3029714507671395,0.36720667648502703
7-4,4,7,0.4308785529715762,0.40630797773654925
7-5,5,7,0.4169776119402986,0.34602076124567493
7-6,6,7,0.5157374100719423,0.492230576441103
7-7,7,7,0.5128893662728251,0.481566820276498
7-8,8,7,0.38120276043378243,0.4174334140435836
7-9,9,7,0.49661246612466114,0.3687813783660432
7-10,10,7,0.49661246612466114,0.3687813783660432
8-1,1,8,0.1791666666666667,0.22409909909909898
8-2,2,8,0.23475609756097526,0.22336065573770525
8-3,3,8,0.25802968960863715,0.2770912547528517
8-4,4,8,0.2837092731829576,0.1907894736842104
8-5,5,8,0.261668731928955,0.2477272727272728
8-6,6,8,0.3294930875576034,0.19429824561403497
8-7,7,8,0.3669692737430166,0.2715827338129495
8-8,8,8,0.49427556257402316,0.20108695652173902
8-9,9,8,0.5237815619495008,0.29292452830188687
8-10,10,8,0.4571428571428573,0.4191176470588234
9-1,1,9,0.15739436619718283,0.3181386514719846
9-2,2,9,0.22011494252873542,0.2752136752136751
9-3,3,9,0.22767593140153775,0.3040513437625354
9-4,4,9,0.23029752441517148,0.39057239057239057
9-5,5,9,0.2412358882947121,0.2967984934086625
9-6,6,9,0.2876838235294119,0.3095785440613026
9-7,7,9,0.3268015170670038,0.2953496627618031
9-8,8,9,0.35527690700104486,0.500974658869396
9-9,9,9,0.32923076923076944,0.2997256515775035
9-10,10,9,0.39332365747460085,0.35267349260523284
10-1,1,10,0.17854700854700845,0.4151785714285714
10-2,2,10,0.1924620874219447,0.38851063829787225
10-3,3,10,0.2638749462211387,0.3882812499999999
10-4,4,10,0.27465397923875434,0.394208494208494
10-5,5,10,0.2929864253393666,0.38436363636363646
10-6,6,10,0.2607142857142859,0.4519434628975263
10-7,7,10,0.34259259259259234,0.4509578544061301
10-8,8,10,0.3652743652743653,0.4320463320463319
10-9,9,10,0.31527777777777777,0.4945736434108525
10-10,10,10,0.3555555555555554,0.46323529411764697
