round_id,Round,consumer_surplus,firm_surplus
1-1,1,3.5700000000000003,7.42
1-2,2,4.02,7.5
1-3,3,4.02,7.5
1-4,4,4.02,7.5
1-5,5,4.02,7.5
1-6,6,4.02,7.5
1-7,7,4.02,7.5
1-8,8,4.02,7.5
1-9,9,4.02,7.5
1-10,10,4.02,7.5
2-1,1,2.81,5.699999999999999
2-2,2,3.24,7.3
2-3,3,4.2,5.8100000000000005
2-4,4,3.44,7.7
2-5,5,2.94,8.1
2-6,6,3.1,7.3
2-7,7,2.59,7.2
2-8,8,2.93,7.3
2-9,9,3.36,6.5
2-10,10,1.91,6.9
3-1,1,3.25,9.9
3-2,2,2.89,10.899999999999999
3-3,3,2.87,9.9
3-4,4,3.44,9.95
3-5,5,3.4299999999999997,10.8
3-6,6,3.35,10.2
3-7,7,2.34,11.55
3-8,8,2.79,11.100000000000001
3-9,9,2.05,10.5
3-10,10,2.45,11.4
4-1,1,3.61,11.65
4-2,2,2.87,11.7
4-3,3,2.25,9.8
4-4,4,3.07,12.1
4-5,5,3.06,11.35
4-6,6,3.07,12.1
4-7,7,2.83,11.6
4-8,8,3.06,11.35
4-9,9,3.07,12.1
4-10,10,3.07,12.1
5-1,1,3.87,8.97
5-2,2,2.9,9.94
5-3,3,1.9500000000000002,10.26
5-4,4,1.3499999999999999,9.879999999999999
5-5,5,1.32,11.55
5-6,6,0.76,9.67
5-7,7,1.43,12.54
5-8,8,1.19,12.78
5-9,9,1.03,12.94
5-10,10,0.87,12.3
6-1,1,5.86,11.350000000000001
6-2,2,4.51,12.7
6-3,3,3.29,13.85
6-4,4,2.11,15.1
6-5,5,1.6400000000000001,10.5
6-6,6,1.48,15.6
6-7,7,1.1800000000000002,15.1
6-8,8,1.17,14.14
6-9,9,1.51,15.7
6-10,10,1.31,15.899999999999999
7-1,1,7.14,9.75
7-2,2,5.94,10.95
7-3,3,4.74,12.15
7-4,4,3.59,11.95
7-5,5,3.14,13.75
7-6,6,2.34,14.55
7-7,7,1.34,14.7
7-8,8,0.58,14.1
7-9,9,0.48,13.0
7-10,10,0.43999999999999995,16.45
8-1,1,6.43,11.2
8-2,2,5.36,12.299999999999999
8-3,3,4.21,12.600000000000001
8-4,4,3.56,14.1
8-5,5,2.63,15.0
8-6,6,1.6500000000000001,14.4
8-7,7,1.02,14.95
8-8,8,0.49000000000000005,14.55
8-9,9,0.54,16.2
8-10,10,0.53,15.1
9-1,1,5.86,10.55
9-2,2,4.8100000000000005,11.6
9-3,3,3.7800000000000002,12.0
9-4,4,3.02,12.5
9-5,5,2.44,13.34
9-6,6,1.81,14.600000000000001
9-7,7,1.04,14.55
9-8,8,1.32,14.15
9-9,9,1.31,12.36
9-10,10,0.72,14.71
10-1,1,6.82,11.15
10-2,2,5.82,12.15
10-3,3,4.82,13.15
10-4,4,3.83,14.149999999999999
10-5,5,2.8200000000000003,15.15
10-6,6,1.8599999999999999,14.55
10-7,7,1.32,16.65
10-8,8,0.55,13.75
10-9,9,1.71,14.25
10-10,10,0.9,17.07
