round_id,Round,firm_num,consumer_gini,firm_gini
1-1,1,1,0.49789915966386533,0.0
1-2,2,1,0.4701492537313432,0.0
1-3,3,1,0.4701492537313432,0.0
1-4,4,1,0.4701492537313432,0.0
1-5,5,1,0.4701492537313432,0.0
1-6,6,1,0.4701492537313432,0.0
1-7,7,1,0.4701492537313432,0.0
1-8,8,1,0.4701492537313432,0.0
1-9,9,1,0.4701492537313432,0.0
1-10,10,1,0.4701492537313432,0.0
2-1,1,2,0.44149659863945545,0.052631578947368585
2-2,2,2,0.48275862068965525,0.15753424657534243
2-3,3,2,0.5159523809523812,0.16265060240963836
2-4,4,2,0.3974875930521089,0.17532467532467533
2-5,5,2,0.45090439276485794,0.05555555555555558
2-6,6,2,0.4051588549858447,0.15753424657534243
2-7,7,2,0.3961904761904764,0.22222222222222232
2-8,8,2,0.43808904777380575,0.15753424657534243
2-9,9,2,0.513082706766917,0.11538461538461542
2-10,10,2,0.47451923076923075,0.1376811594202898
3-1,1,3,0.3444207766672127,0.04040404040404022
3-2,2,3,0.37658227848101267,0.12232415902140681
3-3,3,3,0.3907828282828285,0.06060606060606055
3-4,4,3,0.39682539682539675,0.09715242881072061
3-5,5,3,0.4360058309037895,0.07407407407407396
3-6,6,3,0.37976539589442804,0.07843137254901977
3-7,7,3,0.32054093567251485,0.14141414141414121
3-8,8,3,0.41534391534391535,0.072072072072072
3-9,9,3,0.42848711390910843,0.05714285714285716
3-10,10,3,0.3760451505016722,0.07017543859649122
4-1,1,4,0.23213800597663692,0.25
4-2,2,4,0.3423423423423424,0.2606837606837604
4-3,3,4,0.3701960784313725,0.31122448979591844
4-4,4,4,0.3457767722473606,0.23966942148760317
4-5,5,4,0.3457767722473606,0.30506607929515406
4-6,6,4,0.3457767722473606,0.23966942148760317
4-7,7,4,0.3548801369863013,0.2521551724137929
4-8,8,4,0.3457767722473606,0.30506607929515406
4-9,9,4,0.3457767722473606,0.23966942148760317
4-10,10,4,0.3457767722473606,0.23966942148760317
5-1,1,5,0.22105911330049244,0.26755852842809347
5-2,2,5,0.261505376344086,0.2816901408450707
5-3,3,5,0.31528113142462955,0.3372319688109162
5-4,4,5,0.33982683982684003,0.23076923076923128
5-5,5,5,0.1741970604246057,0.2874458874458876
5-6,6,5,0.2624633431085044,0.2146845915201656
5-7,7,5,0.3896222121074193,0.22647527910685805
5-8,8,5,0.4268976057055529,0.22597809076682318
5-9,9,5,0.4817518248175179,0.224420401854714
5-10,10,5,0.43378668575518975,0.23739837398373997
6-1,1,6,0.17491467576791808,0.28267254038179157
6-2,2,6,0.21829268292682924,0.29396325459317585
6-3,3,6,0.2734042553191489,0.2894103489771358
6-4,4,6,0.47796208530805684,0.31677704194260436
6-5,5,6,0.418848167539267,0.27301587301587293
6-6,6,6,0.5420699925539838,0.3226495726495724
6-7,7,6,0.5559701492537312,0.29911699779249457
6-8,8,6,0.5944767441860463,0.3717586044318715
6-9,9,6,0.5477707006369428,0.31953290870488327
6-10,10,6,0.5607556891369685,0.30712788259958046
7-1,1,7,0.12857142857142878,0.28864468864468873
7-2,2,7,0.15471380471380436,0.28571428571428603
7-3,3,7,0.19578059071729959,0.2833627278071724
7-4,4,7,0.1445655464729032,0.2809324566646745
7-5,5,7,0.2923566878980892,0.2794805194805192
7-6,6,7,0.394871794871795,0.2778595974472262
7-7,7,7,0.4916958041958046,0.3197278911564627
7-8,8,7,0.491866028708134,0.27659574468085113
7-9,9,7,0.5376237623762374,0.49230769230769256
7-10,10,7,0.5287739783152625,0.2943986105080332
8-1,1,8,0.1419129082426125,0.2087053571428572
8-2,2,8,0.18694029850746263,0.20833333333333304
8-3,3,8,0.20265617314313822,0.24503968253968256
8-4,4,8,0.23707865168539355,0.2118794326241138
8-5,5,8,0.2518371400198609,0.21750000000000003
8-6,6,8,0.3263090676883782,0.2934027777777779
8-7,7,8,0.38469827586206873,0.33653846153846145
8-8,8,8,0.41897654584221744,0.2951030927835052
8-9,9,8,0.546218487394958,0.2260802469135803
8-10,10,8,0.501930501930502,0.26903973509933765
9-1,1,9,0.13809099018733306,0.38230647709320675
9-2,2,9,0.12440354464894332,0.3793103448275863
9-3,3,9,0.17752070836903733,0.39074074074074083
9-4,4,9,0.1704758336455603,0.41422222222222227
9-5,5,9,0.19498910675381254,0.4057971014492754
9-6,6,9,0.24024767801857583,0.3926940639269405
9-7,7,9,0.36384180790960463,0.37800687285223344
9-8,8,9,0.5920421860019174,0.40753828032979933
9-9,9,9,0.5668073136427565,0.3628191298094212
9-10,10,9,0.5246963562753035,0.44293375632600673
10-1,1,10,0.0983870967741931,0.373542600896861
10-2,2,10,0.11529209621993108,0.3724279835390947
10-3,3,10,0.13921161825726158,0.37148288973384025
10-4,4,10,0.1761096605744128,0.3706713780918729
10-5,5,10,0.13519813519813506,0.3699669966996697
10-6,6,10,0.19727891156462585,0.38934707903780064
10-7,7,10,0.42810457516339895,0.37207207207207205
10-8,8,10,0.536008230452675,0.4163636363636365
10-9,9,10,0.6060082872928176,0.4971929824561403
10-10,10,10,0.535438144329897,0.36268306971294684
